time,rd6018.Voltage Setting.V,rd6018.Current Setting.A,rd6018.Voltage Output.V,rd6018.Current Output.A,rd6018.Power Output.W,rd6018.External Temperature.C,ut61e.Pack_Voltage.V,rec-q-binary.internal_relay.binary,rec-q-binary.charge_enable.binary,rec-q-binary.system_plus.binary,rec-q-binary.contactor.binary,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-03-06 15:51:49.495830,29.2,18.0,26.34,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:50.498399,29.2,18.0,26.34,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:51.501940,29.2,18.0,26.34,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:52.505707,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:53.509182,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:54.513072,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:55.515482,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:56.518844,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:57.521560,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:51:58.524300,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
